,number,value,datetime_start,datetime_complete,duration,params_C,state
90,90,0.8752000000000001,2022-12-03 13:03:04.208236,2022-12-03 13:04:15.133561,0 days 00:01:10.925325,1.6988010905890971,COMPLETE
91,91,0.899,2022-12-03 13:04:15.133561,2022-12-03 13:04:46.783271,0 days 00:00:31.649710,0.0036565878444183996,COMPLETE
92,92,0.8981999999999999,2022-12-03 13:04:46.788292,2022-12-03 13:05:18.762317,0 days 00:00:31.974025,0.0033876075606924577,COMPLETE
93,93,0.897,2022-12-03 13:05:18.767579,2022-12-03 13:05:42.048384,0 days 00:00:23.280805,0.002427531720665443,COMPLETE
94,94,0.8916000000000001,2022-12-03 13:05:42.048384,2022-12-03 13:05:57.716178,0 days 00:00:15.667794,0.0014726636978061813,COMPLETE
95,95,0.897,2022-12-03 13:05:57.716178,2022-12-03 13:06:31.372897,0 days 00:00:33.656719,0.004455046857736022,COMPLETE
96,96,0.8934000000000001,2022-12-03 13:06:31.372897,2022-12-03 13:07:27.740981,0 days 00:00:56.368084,0.009247778309964828,COMPLETE
97,97,0.8948,2022-12-03 13:07:27.740981,2022-12-03 13:08:03.651869,0 days 00:00:35.910888,0.006029414678113871,COMPLETE
98,98,0.8870000000000001,2022-12-03 13:08:03.651869,2022-12-03 13:09:42.411322,0 days 00:01:38.759453,0.014870427030990776,COMPLETE
99,99,0.897,2022-12-03 13:09:42.411322,2022-12-03 13:10:07.584494,0 days 00:00:25.173172,0.002618452143176084,COMPLETE
